Date,Index
2013-09-24,4253.0
2013-09-23,4111.0
2013-09-20,4018.0
2013-09-19,3924.0
2013-09-18,3838.0
2013-09-17,3691.0
2013-09-16,3480.0
2013-09-13,3446.0
2013-09-12,3397.0
2013-09-11,3431.0
2013-09-10,3255.0
2013-09-09,3113.0
2013-09-06,2799.0
2013-09-05,2660.0
2013-09-04,2445.0
2013-09-03,2344.0
2013-09-02,2263.0
2013-08-30,2243.0
2013-08-29,2256.0
2013-08-28,2284.0
2013-08-27,2335.0
2013-08-23,2312.0
2013-08-22,2284.0
2013-08-21,2268.0
2013-08-20,2218.0
2013-08-19,2140.0
2013-08-16,2112.0
2013-08-15,2099.0
2013-08-14,2021.0
2013-08-13,1846.0
2013-08-12,1805.0
2013-08-09,1813.0
2013-08-08,1829.0
2013-08-07,1853.0
2013-08-06,1907.0
2013-08-05,1939.0
2013-08-02,2312.0
2013-08-01,1935.0
2013-07-31,1881.0
2013-07-30,1856.0
2013-07-29,1864.0
2013-07-26,1873.0
2013-07-25,1890.0
2013-07-24,1936.0
2013-07-23,1956.0
2013-07-22,1978.0
2013-07-19,1987.0
2013-07-18,2006.0
2013-07-17,2034.0
2013-07-16,2044.0
2013-07-15,2052.0
2013-07-12,2058.0
2013-07-11,2047.0
2013-07-10,2037.0
2013-07-09,2012.0
2013-07-08,1977.0
2013-07-05,1929.0
2013-07-04,1936.0
2013-07-03,2020.0
2013-07-02,2134.0
2013-07-01,2176.0
2013-06-28,2165.0
2013-06-27,2120.0
2013-06-26,2061.0
2013-06-25,1959.0
2013-06-24,1912.0
2013-06-21,1822.0
2013-06-20,1792.0
2013-06-19,1757.0
2013-06-18,1674.0
2013-06-17,1588.0
2013-06-14,1537.0
2013-06-13,1484.0
2013-06-12,1427.0
2013-06-11,1379.0
2013-06-10,1359.0
2013-06-07,1352.0
2013-06-06,1344.0
2013-06-05,1335.0
2013-06-04,1338.0
2013-06-03,1333.0
2013-05-31,1336.0
2013-05-30,1339.0
2013-05-29,1348.0
2013-05-28,1346.0
2013-05-24,1350.0
2013-05-23,1339.0
2013-05-22,1333.0
2013-05-21,1321.0
2013-05-20,1317.0
2013-05-17,1326.0
2013-05-16,1334.0
2013-05-15,1338.0
2013-05-14,1360.0
2013-05-13,1370.0
2013-05-10,1382.0
2013-05-09,1398.0
2013-05-08,1408.0
2013-05-07,1393.0
2013-05-03,1344.0
2013-05-02,1322.0
2013-05-01,1279.0
2013-04-30,1273.0
2013-04-29,1260.0
2013-04-26,1246.0
2013-04-25,1220.0
2013-04-24,1214.0
2013-04-23,1220.0
2013-04-22,1230.0
2013-04-19,1234.0
2013-04-18,1238.0
2013-04-17,1245.0
